X,V1,size,expr,time
1,labels,100,fpop,143400
2,labels,100,fpop,68600
3,labels,100,fpop,58100
4,labels,100,labelled_opart,259800
5,labels,100,labelled_opart,162800
6,labels,100,labelled_opart,152500
7,labels,110,fpop,143300
8,labels,110,labelled_opart,274600
9,labels,110,fpop,77800
10,labels,110,labelled_opart,170700
11,labels,110,labelled_opart,154200
12,labels,110,fpop,70600
13,labels,120,fpop,164300
14,labels,120,fpop,81700
15,labels,120,labelled_opart,273800
16,labels,120,fpop,79100
17,labels,120,labelled_opart,189100
18,labels,120,labelled_opart,209900
19,labels,130,fpop,165300
20,labels,130,fpop,85100
21,labels,130,labelled_opart,293200
22,labels,130,labelled_opart,222100
23,labels,130,fpop,93600
24,labels,130,labelled_opart,182400
25,labels,140,labelled_opart,374700
26,labels,140,labelled_opart,209100
27,labels,140,labelled_opart,194500
28,labels,140,fpop,128200
29,labels,140,fpop,90400
30,labels,140,fpop,83200
31,labels,150,fpop,312400
32,labels,150,labelled_opart,286400
33,labels,150,fpop,96000
34,labels,150,fpop,84400
35,labels,150,labelled_opart,179000
36,labels,150,labelled_opart,163000
37,labels,160,fpop,321900
38,labels,160,fpop,150300
39,labels,160,labelled_opart,468600
40,labels,160,fpop,245300
41,labels,160,labelled_opart,361000
42,labels,160,labelled_opart,267700
43,labels,170,labelled_opart,350500
44,labels,170,labelled_opart,184100
45,labels,170,fpop,125200
46,labels,170,labelled_opart,179400
47,labels,170,fpop,98000
48,labels,170,fpop,85600
49,labels,180,fpop,200800
50,labels,180,fpop,178500
51,labels,180,labelled_opart,305800
52,labels,180,labelled_opart,183700
53,labels,180,labelled_opart,169200
54,labels,180,fpop,109100
55,labels,190,fpop,222900
56,labels,190,fpop,125000
57,labels,190,labelled_opart,284200
58,labels,190,labelled_opart,195800
59,labels,190,labelled_opart,167200
60,labels,190,fpop,117900
61,labels,200,labelled_opart,484500
62,labels,200,labelled_opart,201500
63,labels,200,fpop,142600
64,labels,200,fpop,108500
65,labels,200,fpop,103500
66,labels,200,labelled_opart,196000
67,labels,210,fpop,251700
68,labels,210,labelled_opart,3.00E+05
69,labels,210,labelled_opart,176600
70,labels,210,fpop,112400
71,labels,210,labelled_opart,174600
72,labels,210,fpop,210800
73,labels,220,labelled_opart,357600
74,labels,220,fpop,141500
75,labels,220,fpop,103600
76,labels,220,labelled_opart,190000
77,labels,220,labelled_opart,174200
78,labels,220,fpop,133300
79,labels,230,fpop,219000
80,labels,230,labelled_opart,379500
81,labels,230,labelled_opart,181400
82,labels,230,labelled_opart,207900
83,labels,230,fpop,123700
84,labels,230,fpop,103800
85,labels,240,labelled_opart,355800
86,labels,240,fpop,155300
87,labels,240,labelled_opart,196300
88,labels,240,labelled_opart,172600
89,labels,240,fpop,127800
90,labels,240,fpop,171200
91,labels,250,labelled_opart,417900
92,labels,250,fpop,165900
93,labels,250,fpop,122300
94,labels,250,fpop,112300
95,labels,250,labelled_opart,249600
96,labels,250,labelled_opart,184200
97,labels,260,fpop,235200
98,labels,260,labelled_opart,298400
99,labels,260,fpop,146700
100,labels,260,labelled_opart,203800
101,labels,260,labelled_opart,186800
102,labels,260,fpop,142200
103,labels,270,labelled_opart,362700
104,labels,270,fpop,171800
105,labels,270,fpop,127300
106,labels,270,fpop,149100
107,labels,270,labelled_opart,232000
108,labels,270,labelled_opart,179900
109,labels,280,fpop,240700
110,labels,280,fpop,133000
111,labels,280,labelled_opart,286200
112,labels,280,labelled_opart,186500
113,labels,280,labelled_opart,172300
114,labels,280,fpop,139000
115,labels,290,fpop,227700
116,labels,290,labelled_opart,299600
117,labels,290,fpop,161600
118,labels,290,fpop,144500
119,labels,290,labelled_opart,209000
120,labels,290,labelled_opart,193200
121,labels,300,fpop,225100
122,labels,300,labelled_opart,326400
123,labels,300,fpop,210400
124,labels,300,labelled_opart,214300
125,labels,300,fpop,145600
126,labels,300,labelled_opart,202600
127,labels,310,labelled_opart,402000
128,labels,310,fpop,196000
129,labels,310,labelled_opart,236100
130,labels,310,fpop,203400
131,labels,310,fpop,137500
132,labels,310,labelled_opart,241300
133,labels,320,labelled_opart,497900
134,labels,320,labelled_opart,213100
135,labels,320,labelled_opart,182600
136,labels,320,fpop,179100
137,labels,320,fpop,144700
138,labels,320,fpop,139600
139,labels,330,labelled_opart,466600
140,labels,330,labelled_opart,196900
141,labels,330,fpop,194600
142,labels,330,fpop,177000
143,labels,330,labelled_opart,272200
144,labels,330,fpop,159600
145,labels,340,fpop,252000
146,labels,340,labelled_opart,377400
147,labels,340,labelled_opart,459200
148,labels,340,fpop,231400
149,labels,340,labelled_opart,207900
150,labels,340,fpop,173600
151,labels,350,fpop,239500
152,labels,350,labelled_opart,320500
153,labels,350,labelled_opart,201800
154,labels,350,fpop,205600
155,labels,350,labelled_opart,204700
156,labels,350,fpop,154200
157,labels,360,labelled_opart,375100
158,labels,360,labelled_opart,209400
159,labels,360,fpop,196700
160,labels,360,labelled_opart,205200
161,labels,360,fpop,222100
162,labels,360,fpop,155100
163,labels,370,labelled_opart,417700
164,labels,370,labelled_opart,229800
165,labels,370,fpop,235300
166,labels,370,fpop,193800
167,labels,370,fpop,186700
168,labels,370,labelled_opart,235300
169,labels,380,fpop,350700
170,labels,380,fpop,303300
171,labels,380,labelled_opart,602200
172,labels,380,labelled_opart,235700
173,labels,380,labelled_opart,187700
174,labels,380,fpop,221200
175,labels,390,labelled_opart,707100
176,labels,390,labelled_opart,303700
177,labels,390,fpop,428800
178,labels,390,fpop,384800
179,labels,390,labelled_opart,385800
180,labels,390,fpop,240300
181,labels,400,labelled_opart,381900
182,labels,400,labelled_opart,217200
183,labels,400,labelled_opart,203500
184,labels,400,fpop,233200
185,labels,400,fpop,242500
186,labels,400,fpop,179700
187,labels,410,labelled_opart,368500
188,labels,410,fpop,284600
189,labels,410,fpop,243100
190,labels,410,labelled_opart,227300
191,labels,410,labelled_opart,231100
192,labels,410,fpop,409300
193,labels,420,fpop,382300
194,labels,420,labelled_opart,319100
195,labels,420,fpop,209800
196,labels,420,labelled_opart,216000
197,labels,420,labelled_opart,202200
198,labels,420,fpop,192300
199,labels,430,labelled_opart,363100
200,labels,430,fpop,234500
201,labels,430,fpop,191500
202,labels,430,labelled_opart,219700
203,labels,430,labelled_opart,203500
204,labels,430,fpop,200700
205,labels,440,fpop,258800
206,labels,440,labelled_opart,392300
207,labels,440,fpop,422500
208,labels,440,labelled_opart,341400
209,labels,440,labelled_opart,286300
210,labels,440,fpop,289700
211,labels,450,fpop,289300
212,labels,450,fpop,206100
213,labels,450,labelled_opart,687700
214,labels,450,fpop,455900
215,labels,450,labelled_opart,477400
216,labels,450,labelled_opart,405700
217,labels,460,fpop,312500
218,labels,460,fpop,234000
219,labels,460,labelled_opart,307700
220,labels,460,fpop,205000
221,labels,460,labelled_opart,228200
222,labels,460,labelled_opart,202800
223,labels,470,labelled_opart,372700
224,labels,470,labelled_opart,215200
225,labels,470,fpop,239900
226,labels,470,labelled_opart,341700
227,labels,470,fpop,218700
228,labels,470,fpop,192900
229,labels,480,labelled_opart,360000
230,labels,480,fpop,256000
231,labels,480,labelled_opart,223400
232,labels,480,fpop,260200
233,labels,480,fpop,350000
234,labels,480,labelled_opart,448800
235,labels,490,fpop,608100
236,labels,490,labelled_opart,492800
237,labels,490,fpop,408200
238,labels,490,labelled_opart,566700
239,labels,490,fpop,468100
240,labels,490,labelled_opart,508000
241,labels,500,fpop,298400
242,labels,500,labelled_opart,323600
243,labels,500,fpop,217700
244,labels,500,fpop,195200
245,labels,500,labelled_opart,223300
246,labels,500,labelled_opart,200800
247,labels,510,labelled_opart,382800
248,labels,510,fpop,255600
249,labels,510,fpop,217700
250,labels,510,fpop,205500
251,labels,510,labelled_opart,371700
252,labels,510,labelled_opart,497300
253,labels,520,labelled_opart,430100
254,labels,520,labelled_opart,218100
255,labels,520,fpop,257200
256,labels,520,fpop,255700
257,labels,520,labelled_opart,230600
258,labels,520,fpop,243200
259,labels,530,labelled_opart,406400
260,labels,530,fpop,265400
261,labels,530,labelled_opart,303200
262,labels,530,labelled_opart,238300
263,labels,530,fpop,247700
264,labels,530,fpop,228000
265,labels,540,labelled_opart,568700
266,labels,540,fpop,392600
267,labels,540,fpop,256700
268,labels,540,fpop,255100
269,labels,540,labelled_opart,355400
270,labels,540,labelled_opart,268900
271,labels,550,labelled_opart,611800
272,labels,550,labelled_opart,329100
273,labels,550,labelled_opart,325100
274,labels,550,fpop,291800
275,labels,550,fpop,234400
276,labels,550,fpop,223600
277,labels,560,fpop,371700
278,labels,560,labelled_opart,373300
279,labels,560,labelled_opart,293500
280,labels,560,fpop,333000
281,labels,560,fpop,215300
282,labels,560,labelled_opart,226400
283,labels,570,labelled_opart,403000
284,labels,570,fpop,275800
285,labels,570,labelled_opart,228900
286,labels,570,labelled_opart,208400
287,labels,570,fpop,242500
288,labels,570,fpop,471400
289,labels,580,fpop,418300
290,labels,580,fpop,257800
291,labels,580,labelled_opart,325200
292,labels,580,labelled_opart,242700
293,labels,580,labelled_opart,297800
294,labels,580,fpop,392400
295,labels,590,labelled_opart,561400
296,labels,590,labelled_opart,312900
297,labels,590,fpop,287000
298,labels,590,labelled_opart,231100
299,labels,590,fpop,283600
300,labels,590,fpop,263800
301,labels,600,fpop,746300
302,labels,600,fpop,637000
